Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
MADHUBANI,32.0,21.0,40.0,64.0,93.0,99.0,99.0,94.0,43.0,48.0,183.0,162.0,162.0,168.0,178.0,156.0,52.0,277.0,12.0,21.0,21.0,46.0
ROHTAS (SASARAM),26.0,26.0,31.0,65.0,101.0,93.0,94.0,88.0,42.0,59.0,208.0,159.0,145.0,134.0,197.0,131.0,47.0,225.0,25.0,22.0,25.0,43.0
MOTIHARI,35.0,22.0,27.0,64.0,96.0,95.0,94.0,85.0,42.0,50.0,155.0,166.0,135.0,151.0,156.0,124.0,43.0,284.0,17.0,17.0,20.0,35.0
SAMASTIPUR,34.0,24.0,27.0,66.0,100.0,98.0,98.0,86.0,42.0,56.0,195.0,158.0,127.0,142.0,195.0,132.0,42.0,260.0,24.0,17.0,19.0,44.0
KATIHAR,39.0,25.0,29.0,75.0,105.0,110.0,100.0,99.0,42.0,48.0,,180.0,164.0,157.0,184.0,,40.0,347.0,19.0,26.0,22.0,40.0
ARARIA,31.0,26.0,30.0,67.0,100.0,101.0,101.0,96.0,41.0,50.0,,169.0,165.0,150.0,196.0,157.0,44.0,311.0,22.0,21.0,20.0,40.0
NAWADA,42.0,28.0,29.0,67.0,104.0,98.0,95.0,92.0,45.0,55.0,,188.0,145.0,163.0,,141.0,45.0,250.0,23.0,23.0,36.0,43.0
KHAGARIA,42.0,23.0,29.0,67.0,97.0,99.0,95.0,85.0,43.0,42.0,242.0,167.0,133.0,155.0,158.0,130.0,41.0,385.0,22.0,21.0,23.0,48.0
RANCHI,38.0,30.0,29.0,62.0,110.0,90.0,100.0,85.0,42.0,52.0,230.0,156.0,122.0,145.0,182.0,120.0,48.0,240.0,24.0,25.0,25.0,40.0
GUMLA,32.0,,30.0,76.0,98.0,95.0,96.0,96.0,,,195.0,175.0,133.0,155.0,205.0,138.0,,,,,,
SAHIBGANJ,33.0,20.0,22.0,70.0,100.0,100.0,95.0,85.0,42.0,,,209.0,,,,,50.0,,20.0,18.0,16.0,50.0
BOKARO,28.0,25.0,30.0,65.0,95.0,92.0,95.0,83.0,,,170.0,162.0,120.0,165.0,185.0,125.0,,,,25.0,25.0,40.0
LOHARDAGA,33.0,25.0,29.0,66.0,98.0,98.0,98.0,90.0,41.0,52.0,241.0,160.0,166.0,187.0,192.0,130.0,44.0,198.0,21.0,20.0,22.0,24.0
SIMDEGA,33.0,,35.0,68.0,98.0,93.0,100.0,83.0,40.0,,,173.0,165.0,170.0,,171.0,43.0,,24.0,20.0,19.0,20.0
DHANBAD,33.0,29.0,31.0,76.0,96.0,113.0,102.0,96.0,44.0,55.0,218.0,175.0,134.0,174.0,193.0,119.0,43.0,419.0,18.0,25.0,23.0,48.0
JAMSHEDPUR (EAST SINGBHUM),40.0,29.0,30.0,75.0,95.0,98.0,102.0,82.0,41.0,48.0,163.0,185.0,160.0,163.0,170.0,86.0,40.0,215.0,20.0,20.0,50.0,50.0
GIRIDHI,31.0,28.0,29.0,80.0,98.0,100.0,108.0,88.0,41.0,54.0,,187.0,130.0,185.0,208.0,176.0,39.0,295.0,15.0,15.0,35.0,
BHUBANESHWAR,32.0,35.0,34.0,69.0,107.0,113.0,95.0,104.0,43.0,48.0,,174.0,153.0,,177.0,123.0,51.0,227.0,24.0,29.0,26.0,37.0
CUTTACK,36.0,37.0,36.0,71.0,113.0,93.0,97.0,88.0,44.0,46.0,,195.0,125.0,,196.0,137.0,51.0,250.0,25.0,29.0,23.0,22.0
SAMBALPUR,30.0,31.0,30.0,65.0,98.0,89.0,88.0,87.0,43.0,48.0,,195.0,128.0,,196.0,138.0,43.0,247.0,22.0,26.0,21.0,30.0
ROURKELA,30.0,34.0,34.0,67.0,96.0,96.0,95.0,92.0,43.0,50.0,,200.0,132.0,162.0,200.0,139.0,46.0,240.0,22.0,26.0,20.0,50.0
BERHAMPUR,31.0,35.0,36.0,65.0,93.0,96.0,91.0,91.0,43.0,48.0,,191.0,150.0,137.0,187.0,150.0,46.0,245.0,21.0,21.0,27.0,31.0
JEYPORE,28.0,32.0,30.0,66.0,90.0,98.0,92.0,88.0,40.0,48.0,,160.0,122.0,,172.0,124.0,45.0,200.0,23.0,25.0,20.0,30.0
BALASORE,,,,,,,,,,,,,,,,,,,,,,
