city,date,rate
Chennai,2019-09-13,74.67
Chennai,2019-09-14,74.76
Chennai,2019-09-15,74.82
Chennai,2019-09-17,74.97
Chennai,2019-09-18,75.23
Chennai,2019-09-19,75.54
Chennai,2019-09-20,75.9
Chennai,2019-09-21,76.21
Chennai,2019-09-22,76.49
Chennai,2019-09-23,76.8
Chennai,2019-09-24,77.03
Chennai,2019-09-26,77.09
Chennai,2019-09-27,77.25
Chennai,2019-09-30,77.34
Chennai,2019-10-01,77.56
Chennai,2019-10-03,77.46
Chennai,2019-10-04,77.27
Chennai,2019-10-05,76.96
Chennai,2019-10-07,76.67
Chennai,2019-10-08,76.49
Chennai,2019-10-10,76.44
Chennai,2019-10-11,76.31
Chennai,2019-10-12,76.21
Chennai,2019-10-15,76.16
Chennai,2019-10-19,76.15
Chennai,2019-10-22,76.1
Chennai,2019-10-24,76.05
Chennai,2019-10-25,75.93
Chennai,2019-10-26,75.85
Chennai,2019-10-29,75.78
Chennai,2019-11-01,75.78
Chennai,2019-11-01,75.66
Chennai,2019-11-02,75.58
Chennai,2019-11-03,75.53
Chennai,2019-11-04,75.44
Chennai,2019-11-05,75.39
Chennai,2019-11-08,75.49
Chennai,2019-11-09,75.65
Chennai,2019-11-10,75.86
Chennai,2019-11-11,76.02
Chennai,2019-11-13,76.12
Chennai,2019-11-14,76.28
Chennai,2019-11-15,76.47
Chennai,2019-11-16,76.62
Chennai,2019-11-17,76.74
Chennai,2019-11-18,76.91
Chennai,2019-11-19,77.07
Chennai,2019-11-22,77.23
Chennai,2019-11-23,77.32
Chennai,2019-11-24,77.43
Chennai,2019-11-25,77.56
Chennai,2019-11-26,77.66
Chennai,2019-11-29,77.71
Chennai,2019-11-30,77.763
Chennai,2019-12-01,77.89
Chennai,2019-12-07,77.8
Chennai,2019-12-08,77.89
Chennai,2019-12-09,77.94
Chennai,2019-12-10,77.95
Chennai,2019-12-12,77.9
Chennai,2019-12-13,77.84
Chennai,2019-12-14,77.79
Chennai,2019-12-15,77.68
Chennai,2019-12-16,77.63
Chennai,2019-12-17,77.58
Chennai,2019-12-19,77.56
Chennai,2019-12-26,77.62
Chennai,2019-12-27,77.68
Chennai,2019-12-29,77.83
Chennai,2019-12-30,78.0
Chennai,2019-12-31,78.1
Chennai,2020-01-02,78.24
Chennai,2020-01-03,78.34
Chennai,2020-01-04,78.44
Chennai,2020-01-05,78.54
Chennai,2020-01-06,78.7
Chennai,2020-01-07,78.85
Chennai,2020-01-08,78.75
Chennai,2020-01-09,78.83
Chennai,2020-01-10,78.98
Chennai,2020-01-11,79.04
Chennai,2020-01-12,78.94
Chennai,2020-01-13,78.82
Chennai,2020-01-14,78.72
Chennai,2020-01-16,78.55
Chennai,2020-01-17,78.41
Chennai,2020-01-18,78.25
Chennai,2020-01-19,78.07
Chennai,2020-01-20,77.95
Chennai,2020-01-21,77.79
Chennai,2020-01-23,77.61
Chennai,2020-01-24,77.39
Chennai,2020-01-25,77.14
Chennai,2020-01-26,76.84
Chennai,2020-01-27,76.62
Chennai,2020-01-28,76.5
Chennai,2020-01-30,76.26
Chennai,2020-01-31,76.15
